,url,title,context
0,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,还是日语版好啊！
1,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,有儿子是看抖音来的吗
2,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,听说特别好看
3,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,听说新海诚的肆式青春要出了
4,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,北冥有鱼，其名为鲲，鲲之大一锅炖不下
5,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,昨天要看的话还是个处
6,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,到后面十分的感动，五星好评！绝对的，后面就看懂了！
7,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,准备好纸巾
8,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,上次看还在读大学
9,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,看不懂的到最后就看懂了别急
10,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,一遍就懂了，但是超级好看，看了13遍
11,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,二月红前来求药佛爷请赐药
12,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,这个动漫看了第五遍了剧情真的感人还新颖
13,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,陳立農我愛你不管你現在是不是出名了
14,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,感觉还是日语的好听
15,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,不错的电影
16,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,好精致的动漫
17,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,粉字，是日文好吧
18,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,二月紫前来求药
19,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,感觉日语版好听
20,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,❤周惠琳❤
21,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,好看就是费烟
22,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,许愿万世荣光护肩
23,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,中文配音一点感觉都没有，而且那声音好销魂
24,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,这声音是真的没必要开
25,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,带耳机感觉特好，带耳机感觉特好，带耳机感觉特好！
26,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,我觉得超好看
27,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,听这个歌会起鸡皮疙瘩
28,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,好激动，从抖音来的
29,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,主题曲很好听
30,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,歌超级好听
31,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,谁唱的歌那么好听？
32,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,呼叫林琼珠收到请回答
33,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,开头曲是什么名字啊
34,https://www.iqiyi.com/v_19rr7p4m3k.html,你的名字,我什么时候才能遇到那个人他
